Timestamp,Sensor Value,Amplitude,Frequency,Label
0.01,471,0.8745401188473625,12.82499095068746,Normal
0.02,526,1.4507143064099162,19.220423253436532,Normal
0.03,505,1.231993941811405,16.042018979582856,Normal
0.04,491,1.0986584841970366,18.611659728861934,Normal
0.05,430,0.6560186404424365,14.560396808244894,Normal
0.06,521,0.6559945203362026,19.164185827969604,Normal
0.07,536,0.5580836121681995,15.113613429873304,Normal
0.08,450,1.366176145774935,12.086701211842387,Normal
0.09,428,1.1011150117432087,19.24305581135411,Normal
0.1,439,1.2080725777960455,12.730293414289068,Normal
0.11,440,0.5205844942958024,14.554509100723319,Normal
0.12,410,1.4699098521619942,19.60049573640644,Normal
0.13,550,1.3324426408004217,19.60485717550045,Normal
0.14,400,0.7123391106782762,16.58750310498629,Normal
0.15,445,0.6818249672071006,17.054697697358392,Normal
0.16,500,0.6834045098534338,15.587564175826557,Normal
0.17,548,0.8042422429595377,14.345686173584516,Normal
0.18,489,1.024756431632238,14.629316362959328,Normal
0.19,509,0.9319450186421158,17.38014764861631,Normal
0.2,563,0.7912291401980419,18.01899623550144,Normal
0.21,581,1.1118528947223796,18.332632349806786,Normal
0.22,456,0.6394938606520418,18.31694514235643,Normal
0.23,400,0.7921446485352182,12.729648824389523,Normal
0.24,462,0.8663618432936917,15.955362437620652,Normal
0.25,581,0.9560699842170359,12.460470080133154,Normal
0.26,454,1.2851759613930136,16.396231058589883,Normal
0.27,514,0.6996737821583597,15.532244010987016,Normal
0.28,567,1.0142344384136117,19.1016334620664,Normal
0.29,542,1.0924145688620426,14.807320100416629,Normal
0.3,548,0.5464504127199977,12.936536131420848,Normal
0.31,574,1.1075448519014384,13.143933456422687,Normal
0.32,452,0.6705241236872915,18.09208505373978,Normal
0.33,536,0.5650515929852795,16.94574450653009,Normal
0.34,579,1.4488855372533331,12.808981408982323,Normal
0.35,456,1.4656320330745594,12.67285444891998,Normal
0.36,516,1.3083973481164612,17.607753051672958,Normal
0.37,553,0.8046137691733707,12.582104050913548,Normal
0.38,568,0.5976721140063839,18.57488047432285,Normal
0.39,434,1.1842330265121568,17.64993781725197,Normal
0.4,462,0.9401524937396013,12.650790245135198,Normal
0.41,424,0.6220382348447788,12.678701712681535,Normal
0.42,489,0.9951769101112702,19.893116628009402,Normal
0.43,474,0.5343885211152184,14.994166366048962,Normal
0.44,437,1.409320402078782,14.965137176535126,Normal
0.45,529,0.7587799816000169,18.50239653806002,Normal
0.46,534,1.162522284353982,19.57798861907087,Normal
0.47,561,0.811711076089411,19.888008510582967,Normal
0.48,490,1.0200680211778108,18.027025482071533,Normal
0.49,416,1.0467102793432796,15.010076684247327,Normal
0.5,527,0.684854455525527,12.66800573358935,Normal
0.51,570,1.4695846277645586,18.217175327419493,Normal
0.52,586,1.2751328233611146,16.46723399788644,Normal
